"countries"	"country codes"	"item"	"item codes"	"element"	"element codes"	2007	
"Occupied Palestinian Territory"	299	"Apricots"	526	"Area Harvested (Ha)"	31	460	"F "
"Pakistan"	165	"Apricots"	526	"Area Harvested (Ha)"	31	29000	"F "
"Peru"	170	"Apricots"	526	"Area Harvested (Ha)"	31	70	"F "
"Poland"	173	"Apricots"	526	"Area Harvested (Ha)"	31	1700	"  "
"Portugal"	174	"Apricots"	526	"Area Harvested (Ha)"	31	600	"  "
"Romania"	183	"Apricots"	526	"Area Harvested (Ha)"	31	3501	"  "
"Russian Federation"	185	"Apricots"	526	"Area Harvested (Ha)"	31	20000	"F "
"Serbia"	272	"Apricots"	526	"Area Harvested (Ha)"	31	3500	"F "
"Slovakia"	199	"Apricots"	526	"Area Harvested (Ha)"	31	200	"  "
"Slovenia"	198	"Apricots"	526	"Area Harvested (Ha)"	31	28	"  "
"South Africa"	202	"Apricots"	526	"Area Harvested (Ha)"	31	7000	"F "
"Spain"	203	"Apricots"	526	"Area Harvested (Ha)"	31	16500	"F "
"Switzerland"	211	"Apricots"	526	"Area Harvested (Ha)"	31	600	"F "
"Syrian Arab Republic"	212	"Apricots"	526	"Area Harvested (Ha)"	31	13200	"F "
"Tajikistan"	208	"Apricots"	526	"Area Harvested (Ha)"	31	7000	"F "
"The former Yugoslav Republic of Macedonia"	154	"Apricots"	526	"Area Harvested (Ha)"	31	400	"F "
"Tunisia"	222	"Apricots"	526	"Area Harvested (Ha)"	31	8000	"F "
"Turkey"	223	"Apricots"	526	"Area Harvested (Ha)"	31	61500	"* "
"Turkmenistan"	213	"Apricots"	526	"Area Harvested (Ha)"	31	5500	"F "
"Ukraine"	230	"Apricots"	526	"Area Harvested (Ha)"	31	14000	"F "
"United States of America"	231	"Apricots"	526	"Area Harvested (Ha)"	31	7000	"F "
"Occupied Palestinian Territory"	299	"Apricots"	526	"Yield (Hg/Ha)"	41	23913	"F "
"Pakistan"	165	"Apricots"	526	"Yield (Hg/Ha)"	41	65517	"F "
"Peru"	170	"Apricots"	526	"Yield (Hg/Ha)"	41	30000	"F "
"Poland"	173	"Apricots"	526	"Yield (Hg/Ha)"	41	6470	"F "
"Portugal"	174	"Apricots"	526	"Yield (Hg/Ha)"	41	81666	"F "
"Romania"	183	"Apricots"	526	"Yield (Hg/Ha)"	41	16940	"F "
"Russian Federation"	185	"Apricots"	526	"Yield (Hg/Ha)"	41	26000	"F "
"Serbia"	272	"Apricots"	526	"Yield (Hg/Ha)"	41	65577	"F "
"Slovakia"	199	"Apricots"	526	"Yield (Hg/Ha)"	41	15000	"F "
"Slovenia"	198	"Apricots"	526	"Yield (Hg/Ha)"	41	172500	"F "
"South Africa"	202	"Apricots"	526	"Yield (Hg/Ha)"	41	121429	"F "
"Spain"	203	"Apricots"	526	"Yield (Hg/Ha)"	41	52787	"F "
"Switzerland"	211	"Apricots"	526	"Yield (Hg/Ha)"	41	125000	"F "
"Syrian Arab Republic"	212	"Apricots"	526	"Yield (Hg/Ha)"	41	65909	"F "
"Tajikistan"	208	"Apricots"	526	"Yield (Hg/Ha)"	41	44285	"F "
"The former Yugoslav Republic of Macedonia"	154	"Apricots"	526	"Yield (Hg/Ha)"	41	75000	"F "
"Tunisia"	222	"Apricots"	526	"Yield (Hg/Ha)"	41	30000	"F "
"Turkey"	223	"Apricots"	526	"Yield (Hg/Ha)"	41	85901	"F "
"Turkmenistan"	213	"Apricots"	526	"Yield (Hg/Ha)"	41	38909	"F "
"Ukraine"	230	"Apricots"	526	"Yield (Hg/Ha)"	41	26357	"F "
"United States of America"	231	"Apricots"	526	"Yield (Hg/Ha)"	41	114386	"F "
"Occupied Palestinian Territory"	299	"Apricots"	526	"Production (tonnes)"	51	1100	"F "
"Pakistan"	165	"Apricots"	526	"Production (tonnes)"	51	190000	"F "
"Peru"	170	"Apricots"	526	"Production (tonnes)"	51	210	"F "
"Poland"	173	"Apricots"	526	"Production (tonnes)"	51	1100	"P "
"Portugal"	174	"Apricots"	526	"Production (tonnes)"	51	4900	"F "
"Romania"	183	"Apricots"	526	"Production (tonnes)"	51	5931	"  "
"Russian Federation"	185	"Apricots"	526	"Production (tonnes)"	51	52000	"F "
"Serbia"	272	"Apricots"	526	"Production (tonnes)"	51	22952	"  "
"Slovakia"	199	"Apricots"	526	"Production (tonnes)"	51	300	"  "
"Slovenia"	198	"Apricots"	526	"Production (tonnes)"	51	483	"  "
"South Africa"	202	"Apricots"	526	"Production (tonnes)"	51	85000	"F "
"Spain"	203	"Apricots"	526	"Production (tonnes)"	51	87100	"  "
"Switzerland"	211	"Apricots"	526	"Production (tonnes)"	51	7500	"F "
"Syrian Arab Republic"	212	"Apricots"	526	"Production (tonnes)"	51	87000	"F "
"Tajikistan"	208	"Apricots"	526	"Production (tonnes)"	51	31000	"F "
"The former Yugoslav Republic of Macedonia"	154	"Apricots"	526	"Production (tonnes)"	51	3000	"F "
"Tunisia"	222	"Apricots"	526	"Production (tonnes)"	51	24000	"  "
"Turkey"	223	"Apricots"	526	"Production (tonnes)"	51	528295	"  "
"Turkmenistan"	213	"Apricots"	526	"Production (tonnes)"	51	21400	"F "
"Ukraine"	230	"Apricots"	526	"Production (tonnes)"	51	36900	"F "
"United States of America"	231	"Apricots"	526	"Production (tonnes)"	51	80070	"  "
