"countries"	"country codes"	"item"	"item codes"	"element"	"element codes"	2007	
"Afghanistan"	2	"Potatoes"	116	"Area Harvested (Ha)"	31	20000	"F "
"Albania"	3	"Potatoes"	116	"Area Harvested (Ha)"	31	8200	"  "
"Algeria"	4	"Potatoes"	116	"Area Harvested (Ha)"	31	90000	"F "
"Angola"	7	"Potatoes"	116	"Area Harvested (Ha)"	31	120000	"F "
"Argentina"	9	"Potatoes"	116	"Area Harvested (Ha)"	31	68000	"F "
"Armenia"	1	"Potatoes"	116	"Area Harvested (Ha)"	31	33000	"F "
"Australia"	10	"Potatoes"	116	"Area Harvested (Ha)"	31	32000	"F "
"Austria"	11	"Potatoes"	116	"Area Harvested (Ha)"	31	22675	"P "
"Azerbaijan"	52	"Potatoes"	116	"Area Harvested (Ha)"	31	67109	"  "
"Bahrain"	13	"Potatoes"	116	"Area Harvested (Ha)"	31	2	"F "
"Bangladesh"	16	"Potatoes"	116	"Area Harvested (Ha)"	31	310000	"F "
"Belarus"	57	"Potatoes"	116	"Area Harvested (Ha)"	31	412500	"  "
"Belgium"	255	"Potatoes"	116	"Area Harvested (Ha)"	31	68106	"  "
"Belize"	23	"Potatoes"	116	"Area Harvested (Ha)"	31	55	"F "
"Benin"	53	"Potatoes"	116	"Area Harvested (Ha)"	31	10	"F "
"Bermuda"	17	"Potatoes"	116	"Area Harvested (Ha)"	31	45	"F "
"Bhutan"	18	"Potatoes"	116	"Area Harvested (Ha)"	31	6200	"F "
"Bolivia"	19	"Potatoes"	116	"Area Harvested (Ha)"	31	135600	"F "
"Bosnia and Herzegovina"	80	"Potatoes"	116	"Area Harvested (Ha)"	31	41291	"  "
"Brazil"	21	"Potatoes"	116	"Area Harvested (Ha)"	31	143140	"  "
"Bulgaria"	27	"Potatoes"	116	"Area Harvested (Ha)"	31	22427	"  "
"Burkina Faso"	233	"Potatoes"	116	"Area Harvested (Ha)"	31	850	"F "
"Burundi"	29	"Potatoes"	116	"Area Harvested (Ha)"	31	10000	"F "
"Cameroon"	32	"Potatoes"	116	"Area Harvested (Ha)"	31	45000	"F "
"Canada"	33	"Potatoes"	116	"Area Harvested (Ha)"	31	158927	"  "
"Cape Verde"	35	"Potatoes"	116	"Area Harvested (Ha)"	31	230	"F "
"Central African Republic"	37	"Potatoes"	116	"Area Harvested (Ha)"	31	390	"F "
"Chad"	39	"Potatoes"	116	"Area Harvested (Ha)"	31	5200	"F "
"Chile"	40	"Potatoes"	116	"Area Harvested (Ha)"	31	63910	"  "
"China"	351	"Potatoes"	116	"Area Harvested (Ha)"	31	5001600	"F "
"Colombia"	44	"Potatoes"	116	"Area Harvested (Ha)"	31	110000	"F "
"Comoros"	45	"Potatoes"	116	"Area Harvested (Ha)"	31	35	"F "
"Congo"	46	"Potatoes"	116	"Area Harvested (Ha)"	31	500	"F "
"Congo, Democratic Republic of"	250	"Potatoes"	116	"Area Harvested (Ha)"	31	20000	"F "
"Costa Rica"	48	"Potatoes"	116	"Area Harvested (Ha)"	31	2220	"F "
"Croatia"	98	"Potatoes"	116	"Area Harvested (Ha)"	31	12807	"P "
"Cuba"	49	"Potatoes"	116	"Area Harvested (Ha)"	31	12000	"F "
"Cyprus"	50	"Potatoes"	116	"Area Harvested (Ha)"	31	5500	"  "
"Czech Republic"	167	"Potatoes"	116	"Area Harvested (Ha)"	31	31911	"  "
"Denmark"	54	"Potatoes"	116	"Area Harvested (Ha)"	31	41200	"  "
"Dominica"	55	"Potatoes"	116	"Area Harvested (Ha)"	31	12	"F "
"Dominican Republic"	56	"Potatoes"	116	"Area Harvested (Ha)"	31	2450	"F "
"Ecuador"	58	"Potatoes"	116	"Area Harvested (Ha)"	31	52000	"F "
"Egypt"	59	"Potatoes"	116	"Area Harvested (Ha)"	31	105000	"F "
"El Salvador"	60	"Potatoes"	116	"Area Harvested (Ha)"	31	237	"  "
"Eritrea"	178	"Potatoes"	116	"Area Harvested (Ha)"	31	2500	"F "
"Estonia"	63	"Potatoes"	116	"Area Harvested (Ha)"	31	7290	"  "
"Ethiopia"	238	"Potatoes"	116	"Area Harvested (Ha)"	31	55000	"F "
"Faroe Islands"	64	"Potatoes"	116	"Area Harvested (Ha)"	31	100	"F "
"Fiji"	66	"Potatoes"	116	"Area Harvested (Ha)"	31	10	"F "
"Finland"	67	"Potatoes"	116	"Area Harvested (Ha)"	31	27300	"  "
"France"	68	"Potatoes"	116	"Area Harvested (Ha)"	31	145000	"P "
"French Polynesia"	70	"Potatoes"	116	"Area Harvested (Ha)"	31	100	"F "
"Georgia"	73	"Potatoes"	116	"Area Harvested (Ha)"	31	30100	"P "
"Germany"	79	"Potatoes"	116	"Area Harvested (Ha)"	31	276300	"  "
"Greece"	84	"Potatoes"	116	"Area Harvested (Ha)"	31	35500	"  "
"Guatemala"	89	"Potatoes"	116	"Area Harvested (Ha)"	31	11000	"F "
"Haiti"	93	"Potatoes"	116	"Area Harvested (Ha)"	31	880	"F "
