"countries"	"country codes"	"item"	"item codes"	"element"	"element codes"	2007	
"Ghana"	81	"Avocados"	572	"Yield (Hg/Ha)"	41	47878	"F "
"Ghana"	81	"Bananas"	486	"Yield (Hg/Ha)"	41	79861	"F "
"Ghana"	81	"Beans, green"	414	"Yield (Hg/Ha)"	41	91836	"F "
"Ghana"	81	"Cashew nuts, with shell"	217	"Yield (Hg/Ha)"	41	2741	"F "
"Ghana"	81	"Cassava"	125	"Yield (Hg/Ha)"	41	120625	"F "
"Ghana"	81	"Chillies and peppers, dry"	689	"Yield (Hg/Ha)"	41	64800	"F "
"Ghana"	81	"Chillies and peppers, green"	401	"Yield (Hg/Ha)"	41	35769	"F "
"Ghana"	81	"Cocoa beans"	661	"Yield (Hg/Ha)"	41	4000	"F "
"Ghana"	81	"Coconuts"	249	"Yield (Hg/Ha)"	41	57194	"F "
"Ghana"	81	"Coffee, green"	656	"Yield (Hg/Ha)"	41	1650	"F "
"Ghana"	81	"Cucumbers and gherkins"	397	"Yield (Hg/Ha)"	41	100000	"F "
"Ghana"	81	"Eggplants (aubergines)"	399	"Yield (Hg/Ha)"	41	37500	"F "
"Ghana"	81	"Ginger"	720	"Yield (Hg/Ha)"	41	10000	"F "
"Ghana"	81	"Groundnuts, with shell"	242	"Yield (Hg/Ha)"	41	9361	"F "
"Ghana"	81	"Kolanuts"	224	"Yield (Hg/Ha)"	41	2887	"F "
"Ghana"	81	"Lemons and limes"	497	"Yield (Hg/Ha)"	41	58461	"F "
"Ghana"	81	"Maize"	56	"Yield (Hg/Ha)"	41	14666	"F "
"Ghana"	81	"Mangoes, mangosteens, guavas"	571	"Yield (Hg/Ha)"	41	104615	"F "
"Ghana"	81	"Millet"	79	"Yield (Hg/Ha)"	41	8648	"F "
"Ghana"	81	"Natural rubber"	836	"Yield (Hg/Ha)"	41	6470	"F "
"Ghana"	81	"Nuts, nes"	234	"Yield (Hg/Ha)"	41	1280	"F "
"Ghana"	81	"Oats"	75	"Yield (Hg/Ha)"	41	7142	"F "
"Ghana"	81	"Oil palm fruit"	254	"Yield (Hg/Ha)"	41	63333	"F "
"Ghana"	81	"Okra"	430	"Yield (Hg/Ha)"	41	55384	"F "
"Ghana"	81	"Onions, dry"	403	"Yield (Hg/Ha)"	41	76785	"F "
"Ghana"	81	"Oranges"	490	"Yield (Hg/Ha)"	41	80000	"F "
"Ghana"	81	"Papayas"	600	"Yield (Hg/Ha)"	41	45555	"F "
"Ghana"	81	"Pepper (Piper spp.)"	687	"Yield (Hg/Ha)"	41	6326	"F "
"Ghana"	81	"Pineapples"	574	"Yield (Hg/Ha)"	41	59130	"F "
"Ghana"	81	"Plantains"	489	"Yield (Hg/Ha)"	41	97019	"F "
"Ghana"	81	"Pulses, nes"	211	"Yield (Hg/Ha)"	41	834	"F "
"Ghana"	81	"Rice, paddy"	27	"Yield (Hg/Ha)"	41	20166	"F "
"Ghana"	81	"Roots and Tubers, nes"	149	"Yield (Hg/Ha)"	41	50000	"F "
"Ghana"	81	"Seed cotton"	328	"Yield (Hg/Ha)"	41	8000	"F "
"Ghana"	81	"Sorghum"	83	"Yield (Hg/Ha)"	41	10294	"F "
"Ghana"	81	"Sugar cane"	156	"Yield (Hg/Ha)"	41	254386	"F "
"Ghana"	81	"Sweet potatoes"	122	"Yield (Hg/Ha)"	41	13893	"F "
"Ghana"	81	"Taro (cocoyam)"	136	"Yield (Hg/Ha)"	41	63678	"F "
"Ghana"	81	"Tobacco, unmanufactured"	826	"Yield (Hg/Ha)"	41	4695	"F "
"Ghana"	81	"Tomatoes"	388	"Yield (Hg/Ha)"	41	52941	"F "
"Ghana"	81	"Vegetables fresh nes"	463	"Yield (Hg/Ha)"	41	78095	"F "
"Ghana"	81	"Yams"	137	"Yield (Hg/Ha)"	41	118729	"F "
