"countries"	"country codes"	"item"	"item codes"	"element"	"element codes"	1961		1962		1963		1964		1965		1966		1967		1968		1969		1970		1971		1972		1973		1974		1975		1976		1977		1978		1979		1980		1981		1982		1983		1984		1985		1986		1987		1988		1989		1990		1991		1992		1993		1994		1995		1996		1997		1998		1999		2000		2001		2002		2003		2004		2005		2006		2007	
"Afghanistan"	2	"Potatoes"	116	"Area Harvested (Ha)"	31	15000	"F "	15000	"* "	15000	"* "	15000	"* "	15000	"* "	15000	"* "	15000	"* "	15000		15100	"* "	15100	"* "	15000	"* "	15200	"* "	15000		16600	"* "	17000		19800		19000		18200		17900	"* "	17900	"* "	17700	"* "	17600	"* "	17000	"* "	18000	"* "	17600	"* "	15000		14000	"F "	14000	"F "	13300	"* "	13300	"* "	13300	"F "	13300	"F "	13500	"F "	13500	"F "	14000	"F "	14000		14000		14000		14000		14000		14000		14000		15000	"F "	17000		20000		20000	"  "	20000	"F "
"Bangladesh"	16	"Potatoes"	116	"Area Harvested (Ha)"	31	55847		55847		57871		55442		55442		60700		70400		76100		84200		85400		86600		76236		79554		80058		93864		95932		77377		90031		96676		96482		102128		107665		110085		110194		111280		108410		106360		123393		111312		116582		123844		127796		129605		131245		131500		132300		133971		136277		244837		243219		248988		237600		245318		270740		326291		301040	"  "	310000	"F "
"Bolivia"	19	"Potatoes"	116	"Area Harvested (Ha)"	31	107500		109484		112136		110000		115000		110240		102870		87765		92200		95000		97000		111950		115610		118205		127680		129755		125255		157130		163220		168530		177165		159349		108156		155952		163108		144400		142000		143695		128045		119693		140053		136887		134894		133660		124965		125703		127662		131787		127002		133600		128539		129641		130524		132639		134435		135577	"  "	135600	"F "
"Colombia"	44	"Potatoes"	116	"Area Harvested (Ha)"	31	48500		75000		68900		75800		66500		76000	"F "	79000		81000		78700		84100		88300		89500		98600		92000		110000		125000		130000		141600		148000		142000		159500		165200		160500		159700		139100		155950		157250		170100		172500		161350		151413		146568		185080		184397		178482		173702		166765		164759		171713		170719		172439		163841		109048		107009		100321		100000	"F "	110000	"F "
"Congo"	46	"Potatoes"	116	"Area Harvested (Ha)"	31	50	"F "	50	"F "	300	"F "	500	"F "	500	"F "	500	"F "	300	"F "	300	"F "	250	"F "	210	"F "	260	"F "	260	"F "	290	"F "	350	"F "	250	"F "	250	"F "	260	"F "	250	"F "	270	"F "	300	"F "	330	"F "	330	"F "	330	"F "	330	"F "	200	"F "	214		214		230	"F "	240	"F "	250	"F "	270	"F "	280	"F "	280	"F "	290	"F "	300	"F "	340	"F "	350	"F "	380	"F "	435	"F "	490	"F "	490	"F "	507		420	"F "	480	"F "	560	"F "	500	"F "	500	"F "
"Cuba"	49	"Potatoes"	116	"Area Harvested (Ha)"	31	10000	"F "	7700	"F "	7600	"F "	6800	"F "	7500	"F "	9000	"F "	8951		7499		9787		11100		13200		5208		5807		10806		9480		10517		12286		10486		13062		13917		16100		14500		12717		16600		14900		14200		13479		15165		16394		16852		17731		14669		13872		14542		13226		13736		17233		12164		13959		13404		13258		12795		12707		12451		12316		11615	"  "	12000	"F "
"Egypt"	59	"Potatoes"	116	"Area Harvested (Ha)"	31	23128		24239		25131		22965		24452		22428		17461		28145		29826		32346		27569		35287		44528		39908		41168		54021		64152		55453		59711		70254		66907		64000		57550		62170		74350		73090		79820		86960		73930		79663		88268		77421		77000	"F "	64779		123038		129970		82561		88849		77663		75018		79716		82590		82850		104180		100000	"F "	105000	"F "	105000	"F "
"Eritrea"	178	"Potatoes"	116	"Area Harvested (Ha)"	31																																																																	5000	"F "	5000	"F "	5000	"F "	4900	"F "	5200	"F "	5400	"F "	5000	"F "	5000	"F "	3000	"F "	2500		2500		2500		2205		2400	"F "	2500	"F "
"Fiji"	66	"Potatoes"	116	"Area Harvested (Ha)"	31	10	"* "	10	"* "	15	"* "	49		24		48		40		61		100		150	"F "	130		130		83		171		317		350	"F "	300	"F "	200	"F "	200	"F "	150	"F "	100	"F "	100	"F "	70	"F "	60	"F "	50	"F "	40	"F "	35	"F "	30	"F "	26		17		14		11		7		11		10	"F "	10	"F "	10	"F "	10	"F "	10	"F "	10	"F "	10	"F "	10	"F "	10	"F "	10	"F "	9	"F "	10	"F "	10	"F "
"Finland"	67	"Potatoes"	116	"Area Harvested (Ha)"	31	76942		73640		76600		71100		72700		67700		64500		64500		58200		60100		49800		47500		45800		47500		48500		52700		46400		44300		42700		40900		36900		39100		45300		41300		39400		39400		41700		44800		44800		41000		36200		34900		36400		36500		36100		34800		33200		32800		32300		32200		30000		29800		28700		27300		28900		28000	"  "	27300	"  "
"Greece"	84	"Potatoes"	116	"Area Harvested (Ha)"	31	56198		56198		57420		58320		55680		54860		56383		54110		55340		58600		51100		52300		55926		56000		57318		65000		69400		64200		63000		65000		62000		62000		64000		59000		56000		55000		55560		55000		56000		50300		51884		51487		49094		50000		52000		51000		49000		49000		49200		48800		46800		46500		46200		45646		44440		44770	"  "	35500	"  "
"Guadeloupe"	87	"Potatoes"	116	"Area Harvested (Ha)"	31	17	"F "	17	"F "	18		18		30		25		22	"F "	20	"F "	20	"F "	20	"F "	20		15		15		10		0	"F "	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0																															
